ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
1143		70.6013	216.5148	198.3844	170.353	163.7681	225.9013	135.8406	145.4531	215.0227	147.5011	162.6555	170.7128	134.9178	209.3322	214.1292	165.6087	80.34403	122.3357	200.1196	155.3891	196.9243	181.2838	103.815	93.83039	136.6415	126.9602	108.8117	126.9317	127.9569	106.4605	156.3057	74.1645	131.8081	112.8491	147.2061	131.9654	274.5554	159.9568	213.7332	98.45996	72.96361	162.2127	147.887	150.7909	191.8954	130.841	61.44025	102.364	234.7552	257.8889	211.4307	268.8939	82.17827
1144		67.05135	179.6174	264.4998	183.1125	170.5227	213.9024	107.6897	179.4113	269.628	143.3909	146.1719	111.138	138.5619	175.956	197.1905	172.4151	104.4411	139.0945	227.1865	197.4936	224.2252	135.7029	139.8827	160.7175	166.1012	182.2158	153.8407	143.8542	125.5584	159.8407	149.7513	104.8297	168.5267	142.4949	149.5422	161.5279	330.9694	195.9028	207.0265	116.6159	127.0987	126.4431	200.2664	166.5385	172.1746	99.90701	60.96775	112.092	199.8919	206.765	213.0445	186.7193	79.0386
1145		76.05109	290.1036	245.1234	185.5632	246.4973	202.9866	137.4365	194.1567	259.7079	170.3586	195.9202	136.2721	173.3829	177.3304	183.4384	88.45598	45.83475	68.04632	263.4638	86.60423	141.3505	156.5509	142.8973	62.94285	102.4607	131.5644	153.8532	86.79594	144.6161	99.22091	161.7945	70.73562	69.66824	90.24223	120.8561	82.51431	130.6645	123.552	117.9677	79.1305	93.43862	152.0797	121.0051	164.7326	127.1369	97.76705	66.32255	100.2309	215.8989	268.2925	122.8691	239.7636	111.7951
1146		75.92298	172.1941	148.8953	220.3165	272.8126	209.0984	101.0189	238.9237	300.3614	175.2731	166.9658	238.9143	164.7285	131.0557	237.6257	155.9989	112.4506	156.0648	143.3079	102.1859	71.942	181.1502	207.0886	58.07869	163.2589	226.799	113.2122	87.21324	169.1447	82.87069	107.1104	88.02509	127.0089	107.1455	139.5905	79.84937	338.3198	205.036	164.0221	86.54622	103.5396	185.3769	142.9375	123.4342	167.5053	130.0684	71.87785	154.7724	136.6275	302.1942	108.9707	98.61785	115.1401
1147		88.46456	250.1226	307.339	152.9012	250.9524	249.9262	172.3602	171.2934	252.3723	204.2798	207.0056	148.0146	174.0231	189.5034	211.619	107.0245	102.45	89.66225	184.3515	99.1825	124.6925	129.3625	246.7365	54.12529	197.1421	153.2273	164.5654	109.3061	133.2948	168.3278	181.7757	100.5468	103.9233	100.0499	128.9822	106.5583	180.1999	203.4086	195.778	138.2725	115.3882	171.676	166.0053	155.8386	173.2011	151.2767	50.65767	161.5038	275.5674	313.0135	211.6442	262.7576	136.3802
1148		94.59472	235.5297	199.1337	166.3339	173.7803	145.1274	112.6216	176.4101	155.3154	192.7538	121.2102	129.5753	226.1571	203.9175	201.8851	201.7476	106.077	103.9311	140.6335	101.3017	109.9378	145.9685	138.3988	78.5512	107.436	125.8137	110.8094	135.92	82.88009	126.7898	103.9062	68.39055	113.3598	139.437	140.8247	132.5724	114.7797	140.9945	144.2363	135.4723	125.6263	180.2374	143.5059	171.2319	116.8162	66.04889	64.84259	100.4444	241.6282	371.5057	215.248	220.2736	98.39677
1149		NaN	288.5175	238.7815	203.8365	326.3463	328.6422	125.0045	110.0848	188.8091	212.489	210.6287	268.9762	199.2259	309.1779	379.461	340.5023	123.4225	163.1824	227.8392	120.2946	227.1004	174.8913	120.8527	77.08342	155.2124	119.1183	102.9831	118.5275	59.76652	135.1606	104.2164	81.17336	136.9578	98.57258	108.6119	147.2826	159.6517	158.9855	156.68	179.2842	176.4868	220.4654	90.17401	281.5219	242.0386	123.6663	NaN	163.2688	411.6578	458.0318	265.6517	231.9049	197.195
1151		49.0958	205.3218	134.3258	311.1102	139.0978	311.6855	98.84926	378.5064	326.5885	283.1305	208.5871	169.5788	220.7243	179.1631	221.3427	253.7685	128.5472	156.566	180.6284	157.1786	177.3943	171.4369	257.6642	64.95169	150.3686	172.7159	230.0407	178.3848	71.63268	159.1297	132.1597	54.02152	184.1208	194.5592	180.5223	160.1404	95.70982	202.948	190.8272	207.5236	207.792	124.7993	181.2068	154.2164	217.205	88.25031	33.25254	118.1711	232.8446	175.9469	259.3846	273.6097	84.51073
1152		87.22066	219.3024	212.0189	190.0778	235.7058	177.9132	120.2977	240.1205	291.1957	158.4449	169.0262	107.8849	172.9796	163.8557	166.9828	101.2569	84.51579	124.1728	112.4609	100.0658	111.4506	124.7379	381.8326	82.18404	197.7079	185.8784	233.9255	83.603	184.9865	108.6372	159.684	114.0792	113.8844	151.9556	166.6626	60.57983	121.0175	123.8425	202.9151	120.1929	142.5703	117.7431	124.2465	133.3009	152.2919	149.8663	51.4721	140.9325	224.3056	159.1102	160.7168	166.7849	183.8369
1153		74.29828	248.3807	226.5918	207.1978	213.0141	329.5099	209.1842	162.44	239.1429	212.7065	195.8712	158.8968	175.8905	281.8233	296.2747	252.97	138.9443	127.8431	160.7228	209.2863	196.4515	257.7612	245.1751	83.13445	140.4986	152.3331	112.6323	154.169	142.7597	174.711	163.5845	69.69727	152.5597	150.2302	225.1837	143.839	120.7373	163.2443	187.1814	166.0744	181.0313	178.0767	189.1333	134.8327	136.2242	125.8566	62.14262	140.3486	166.8215	371.2293	298.4357	266.8397	66.78979
