ROI	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
30	0.6908714	0.801074	0.6775898	0.7179738	0.728785	0.6499039	0.6833814	0.8106462	0.7423662	0.6971669	0.6742448	0.6622863	0.7077162	0.7240292	0.7979593	0.7512969	0.5306277	0.579937	0.4662842	0.5438603	0.477029	0.4940637	0.5410577	0.4241663	0.4771158	0.55137	0.4974732	0.5235713	0.4854912	0.502155	0.5559155	0.4589503	0.4307715	0.4718662	0.4131833	0.4732504	0.4381939	0.5105534	0.5626743	0.6396503	0.5108388	0.4503788	0.7968956	0.5297778	0.5636078	0.6784329	0.8866666	0.8531796	0.7724025	0.6999751	0.8047186	0.8496807	0.8985718
31	0.715224	0.8169578	0.6879274	0.7125974	0.7487143	0.6685415	0.7220563	0.7624008	0.7220459	0.7200257	0.6687198	0.6915902	0.7434003	0.7505604	0.8082683	0.7531653	0.5611643	0.574464	0.4609112	0.5526322	0.4895542	0.497306	0.5385438	0.4666474	0.4432589	0.548099	0.5473065	0.5314	0.5299239	0.5039777	0.5535265	0.4478418	0.4322011	0.4905706	0.429115	0.4776404	0.4660951	0.5469797	0.5755173	0.5867293	0.5137838	0.492506	0.8079192	0.5438358	0.6198022	0.6700939	0.8675987	0.8012843	0.7773516	0.7086859	0.7956035	0.8498584	0.7825725
32	0.4818042	0.725752	0.5036976	0.4941891	0.5330834	0.4425416	0.4553776	0.5696618	0.5385374	0.4957683	0.4780043	0.5229107	0.5249559	0.5406982	0.540441	0.5119523	0.352224	0.457501	0.3562193	0.4241138	0.3459469	0.3702316	0.3792911	0.3101326	0.3136197	0.3845389	0.3602635	0.3714341	0.3526942	0.3678204	0.4815877	0.3584023	0.314959	0.3479314	0.3315109	0.3053406	0.2921257	0.3426754	0.3577004	0.4276807	0.3759468	0.2968346	0.4471205	0.2999572	0.3711945	0.4481711	0.6969882	0.5855696	0.6368274	0.4980752	0.6077685	0.6420754	0.6352611
33	0.4444949	0.6033818	0.4640245	0.436368	0.4856899	0.401356	0.4028686	0.4786776	0.4758724	0.4362983	0.4376974	0.4787669	0.4784279	0.4952667	0.4960808	0.4686322	0.3296898	0.4190789	0.3352932	0.3913395	0.3122477	0.3437314	0.3323456	0.292232	0.2911577	0.3544987	0.3287252	0.3439873	0.3284843	0.3363281	0.4261726	0.325149	0.2890412	0.3220043	0.3070929	0.2840157	0.2504148	0.3238395	0.3384998	0.395764	0.348613	0.2671042	0.3916866	0.2877421	0.3493311	0.4069999	0.6224222	0.5206454	0.5524577	0.4335403	0.5310671	0.5482579	0.5441695
34	0.5131068	0.6027143	0.5367712	0.3945281	0.5265545	0.4068659	0.4355665	0.3672735	0.4701128	0.4552937	0.4591691	0.576542	0.5568926	0.6083487	0.5576575	0.5424432	0.3822037	0.4108301	0.3892477	0.404816	0.3210497	0.3850439	0.3573574	0.3290041	0.3338265	0.3824144	0.4007969	0.3706953	0.3830298	0.3532248	0.3610949	0.3679726	0.318316	0.4067336	0.3678876	0.3597935	0.2917891	0.3980749	0.4197295	0.4462737	0.3593474	0.3211232	0.4062403	0.437727	0.5137824	0.4526525	0.7032756	0.6513426	0.6059501	0.4979011	0.6524682	0.6163983	0.5855826
35	0.7081393	0.7915887	0.7000037	0.6568552	0.730741	0.6586884	0.7002676	0.6750551	0.702593	0.6795972	0.6617132	0.7029	0.7334434	0.766803	0.7940742	0.7333269	0.5456795	0.5437826	0.4703685	0.5312301	0.462451	0.5056095	0.5397305	0.4436787	0.4608197	0.5496756	0.540945	0.5199813	0.5206283	0.5026176	0.5298733	0.5095212	0.4291285	0.5006406	0.4540527	0.467754	0.4218544	0.5515522	0.5799758	0.6116388	0.4999524	0.4498842	0.7175724	0.5685007	0.6239112	0.6508899	0.8893091	0.8522647	0.8017246	0.7269506	0.8049104	0.8344469	0.8250881
36	0.6414862	0.7365674	0.659719	0.5328352	0.6645686	0.5493118	0.6020007	0.4973727	0.6320918	0.5884433	0.590646	0.693343	0.7047243	0.73602	0.722595	0.6474057	0.4867907	0.4812178	0.4545219	0.479531	0.4031856	0.4761677	0.4899194	0.4238681	0.4483158	0.489899	0.540305	0.4686777	0.4839344	0.4462989	0.4228233	0.5133539	0.3947882	0.496345	0.4391291	0.4546272	0.3728408	0.5096131	0.5258971	0.5576682	0.4453563	0.4119488	0.6159992	0.572309	0.6432962	0.5447916	0.8255522	0.8004395	0.7441242	0.7168664	0.7075771	0.7728332	0.7402716
37	0.6312606	0.7235667	0.6448541	0.5007722	0.6358092	0.527993	0.6037787	0.4564765	0.6125404	0.5551192	0.5916066	0.6735349	0.7056443	0.7401566	0.7059038	0.6269726	0.4845484	0.4377718	0.4287229	0.454267	0.3724811	0.4465419	0.4558774	0.4129055	0.4062727	0.4711631	0.4972159	0.4367937	0.4628344	0.4117535	0.3697514	0.4708294	0.3666643	0.5079048	0.4340675	0.444976	0.3830488	0.5062044	0.5027247	0.5276395	0.4099058	0.4423243	0.6371385	0.5952051	0.6487019	0.5252185	0.7937617	0.7584175	0.7005715	0.6431144	0.6725605	0.7138748	0.6727707
38	0.6080459	0.6938353	0.6250584	0.496128	0.6185486	0.4957709	0.565799	0.4603876	0.6416394	0.5479909	0.5473419	0.655548	0.6828005	0.7170684	0.6607304	0.6095226	0.4432561	0.4599409	0.4556823	0.4592384	0.3637078	0.4678343	0.4499666	0.3915689	0.4020828	0.4589222	0.4886771	0.4279336	0.4566818	0.4197536	0.4187749	0.4467693	0.3641477	0.4806922	0.4285237	0.4272774	0.3536863	0.464025	0.4841028	0.529054	0.4066608	0.372752	0.5410594	0.5343041	0.609669	0.5342286	0.8348917	0.7873963	0.7209445	0.6179122	0.7284673	0.7662994	0.7159736
39	0.7394364	0.820893	0.726572	0.6629264	0.7429402	0.7249361	0.7692559	0.6447582	0.6976951	0.6818797	0.7018517	0.7221425	0.7801155	0.8203111	0.8363141	0.7541274	0.5749335	0.5386984	0.4601657	0.5361028	0.4721922	0.5011135	0.5514953	0.4589778	0.436874	0.5626588	0.5532922	0.540087	0.5204195	0.5006186	0.4836755	0.4878367	0.4223564	0.5363698	0.4699551	0.4979359	0.4602096	0.5925969	0.6020123	0.6107166	0.5194409	0.4955476	0.7705982	0.6533564	0.6975986	0.6511563	0.8563166	0.8343548	0.7821897	0.7255098	0.7746372	0.770935	0.780668
